gene_symbol,module,score_group,rationale,gene_count,table_scope
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,1,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,5,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,5,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NMNAT3,nad_salvage_core,repair,Mitochondrial-associated NMN adenylyltransferase linked to mitochondrial NAD pools,5,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,5,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,5,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,1,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
KYNU,nad_de_novo,inflammatory,Tryptophan-kynurenine pathway enzyme often coupled to inflammatory metabolism,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
CD38,nad_consumption_inflammation,inflammatory,NAD-consuming ectoenzyme linked to inflammation and metabolic dysfunction,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
BST1,nad_consumption_inflammation,inflammatory,CD38 paralogue and immune ectoenzyme with NAD-related activity,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
PARP1,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
PARP2,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
SIRT1,sirtuin_repair,repair,NAD-dependent deacetylase linked to mitochondrial biogenesis and inflammatory restraint,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
SIRT3,sirtuin_repair,repair,NAD-dependent mitochondrial deacetylase and oxidative metabolism regulator,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
SIRT6,sirtuin_repair,repair,NAD-dependent chromatin and DNA repair regulator,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
PRKAA1,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha1; energy stress and exercise adaptation,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
PRKAA2,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha2; skeletal-muscle energy adaptation,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
PPARGC1A,ampk_mitochondria_repair,repair,PGC-1alpha mitochondrial biogenesis and endurance adaptation regulator,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
TFAM,mitochondrial_biogenesis,repair,Mitochondrial transcription factor and mtDNA maintenance marker,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NRF1,mitochondrial_biogenesis,repair,Nuclear respiratory factor involved in mitochondrial biogenesis,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NFE2L2,oxidative_stress_repair,repair,NRF2 antioxidant and stress-adaptation regulator,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
SOD2,oxidative_stress_repair,repair,Mitochondrial antioxidant defense marker,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
CAT,oxidative_stress_repair,repair,Antioxidant enzyme relevant to oxidative stress resolution,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
GPX1,oxidative_stress_repair,repair,Glutathione peroxidase and oxidative damage protection marker,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NFKB1,nfkb_inflammation,inflammatory,NF-kB transcription factor subunit linked to chronic inflammatory signalling,7,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
RELA,nfkb_inflammation,inflammatory,NF-kB p65 subunit and inflammatory transcriptional activation,7,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
TNF,nfkb_inflammation,inflammatory,Canonical inflammatory cytokine relevant to obesity inflammation,7,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
IL6,nfkb_inflammation,inflammatory,Exercise-responsive and inflammation-associated cytokine with context dependence,7,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
