score,theme,source_db,query_id,accession,uid,title,summary,taxon,data_type,n_samples,tissues,has_human,has_exercise,has_obesity,has_inflammation,has_nampt_axis,has_omics,pubmed_ids,ftp_link,url,year_or_date
15,obesity,GEO/GDS,obesity_muscle_metabolism_geo,GSE315575,200315575,A decline in skeletal muscle NOX4 abrogates exercise-induced adaptive homeostasis and exacerbates biological ageing,"A decline in NFE2L2-orchestrated adaptive homeostasis and oxidative distress are thought to be key features of ageing. In contracting skeletal muscle, the ROS-producing enzyme NADPH oxidase 4 (NOX4) is a potent inducer of NFE2L2 adaptive homeostasis. Here we report that skeletal muscle NOX4 levels decline in aged mice and humans, resulting in abrogated NFE2L2 adaptive homeostasis, increased protein oxidative damage and decreased muscle function. We show that deleting NOX4 in skeletal muscle exacerbates the physiological decline associated with ageing, resulting in overt sarcopenia and frailty, characterised by physical inactivity, increased adiposity, systemic inflammation, whole-body insulin resistance and advanced liver disease in aged chow-fed mice. The systems-wide physiological decline in aged skeletal muscle NOX4-deficient mice could be corrected by restoring NOX4 using viral approaches or activating NFE2L2 downstream with sulforaphane and reinstating adaptive homeostatic responses otherwise induced by exercise. Our findings provide important insights into the basis for the decline in NFE2L2-orchestrated adaptive homeostasis that accompanies physical inactivity with age and identify key mechanisms by which exercise may promote healthy ageing.",Mus musculus,Expression profiling by high throughput sequencing,8,skeletal_muscle,1,1,1,1,1,1,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315575/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315575,
14,exercise;obesity;weight_loss,GEO/GDS,exercise_skeletal_muscle_human_geo,GSE316731,200316731,Endothelial Cell-specific Activation of NOX1 Drives Obesity and Metabolic Syndrome via Skeletal Muscle Mitochondrial Dysfunction with Novel Genetic Signatures,"Presently, we investigated hypothesized roles and mechanisms of cell type-specific, selective activation of different vascular NADPH oxidase (NOX) isoforms in obesity and metabolic syndrome. Expression of NOX1 was significantly upregulated in WT mice fed high-fat diet. Global knockout of NOX1 (NOX1-/y), rather than of NOX2/NOX4, markedly abrogated high-fat feeding induced body weight/fat mass gain, preadipocyte differentiation, fatty liver, glucose intolerance, and insulin/leptin resistance. Intriguingly, endothelial-specific NOX1 knockout (Cdh5cre-NOX1CKO), rather than vascular smooth muscle-specific NOX1 knockout (Myh11cre-NOX1CKO), substantially alleviated these features of obesity and metabolic syndrome. Consistently, endothelial-specific NOX1 knockin mice (Cdh5cre-NOX1CKI) fed high-fat diet displayed exaggerated metabolic disorders. Endothelial cell (EC)-specific knockout/knockin of NOX1 was confirmed using EC washout experiments. Food/water intakes were not different from corresponding controls in high-fat fed NOX1-/y, Cdh5cre-NOX1CKO or Cdh5cre-NOX1CKI mice, indicating no difference in energy intake. Instead, spontaneous activity, exercise capacity, mitochondrial oxygen consumption/ATP production, skeletal muscle mitochondrial function (ROS production and swelling activity), and mitochondrial cristae structure were all substantially improved in NOX1-/y or Cdh5cre-NOX1CKO mice, indicating augmented energy expenditure attributed to preserved skeletal muscle mitochondrial function. Supportively, Cdh5cre-NOX1CKI mice displayed deteriorated exercise capacity and skeletal muscle mitochondrial dysfunction. Endothelium-dependent vasorelaxation was restored in high-fat fed NOX1-/y or Cdh5cre-NOX1CKO mice, confirming improved endothelial function. RNA-seq identified 4 genes (Cntnap4, Sgsm1, Tll2 and Syt9) and 7 genes (Odf3l2, Col9a1, Cldn23, Atp5g2, Nkx6-3, Ntsr2 and Zfp69) significantly down/upregulated in high-fat fed Cdh5cre-NOX1CKO mice, among which Cntnap4 and COL9A1 linked to muscular disorders. Importantly, we observed marked upregulation of NOX1 in isolated coronary arteries from human obese patients. Taken together, our data for the first time establish a novel and paradigm-shifting concept that endothelial NOX1 drives systematic metabolic phenotypes, via impairment in skeletal muscle mitochondrial dysfunction with novel genetic signatures. Tissue-specific targeting of endothelial NOX1 and novel candidate genes may prove to be robustly effective in treating obesity and metabolic syndrome.",Mus musculus,Expression profiling by high throughput sequencing,12,skeletal_muscle,1,1,1,0,1,1,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE316nnn/GSE316731/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316731,
14,weight_loss,GEO/GDS,weight_loss_exercise_adipose_muscle_geo,GSE328810,200328810,Episignatures associated with 8-week combined physical exercise in women with obesity,"Aims: Obesity is influenced by epigenetic mechanisms; however, little is known about DNA methylation markers associated with exercise-induced health-promotion interventions. This aims to explore the episignatures of an 8-week combined physical exercise training protocol on DNA methylation patterns in women with obesity. Patients and Methods: Thirteen women with obesity (BMI: 33 ± 2 kg/m²; age: 34 ± 5 years) underwent assessments of body composition, waist circumference, physical performance (VO₂max), and peripheral blood collection before and after an 8-week combined physical training intervention (3 sessions/week, 55 minutes/session, 70-90% maximum heart rate). DNA methylation was analyzed using the Illumina EPIC BeadChip. Results: The intervention improved clinical outcomes, including reduced waist circumference and increased VO₂max (p < 0.05). Epigenome-wide analysis identified 15 differentially methylated regions, highlighting hypomethylation in SLFN11 and PM20D1 hypermethylation in GATA5. These genes are involved in pathways related to immune response, tumor suppression, thermogenesis, metabolic regulation, adiposity, glucose homeostasis, and transcriptional control. Conclusion: Combined physical training induced clinical improvements and DNA methylation changes in women with obesity, suggesting that exercise may alter the episignatures related to obesity.",Homo sapiens,Methylation profiling by array,26,blood_pbmc,1,1,1,0,0,1,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE328nnn/GSE328810/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328810,
14,weight_loss,GEO/GDS,weight_loss_exercise_adipose_muscle_geo,GSE303998,200303998,Whole body MondoA deletion protects against diet-induced obesity through uncontrolled multi-organ substrate utilization and futile cycling,"Objective – Delineating the nodal control points that maintain whole-body energy homeostasis is critical for understanding potential treatments of obesity and cardiometabolic diseases. The nutrient-sensing transcription factor MondoA is a regulator of skeletal muscle fuel storage, where muscle-specific inhibition improves glucose tolerance and insulin sensitivity. However, the role of MondoA in whole body energy metabolic homeostasis is not understood. Methods – Generalized MondoA knockout (gKO) mice were generated and assessed for glucose tolerance and insulin sensitivity, body composition, energy expenditure, cold tolerance, and tissue specific transcriptional changes in response to high fat diet. Complementary studies in cultured human adipocytes assessed the impact of MondoA deficiency on substrate utilization and lipolysis. Results – gKO mice are protected from diet-induced obesity and insulin resistance, through increased whole body energy expenditure. gKO mice exhibit reduced brown and inguinal white adipose tissue mass, without evidence of beiging. The gKO mice are hyperlactemic and isolated MondoA-deficient adipocytes have increased 2-deoxyglucose uptake and glycolytic function. Lastly, gKO mice and KO adipocytes display increased circulating glycerol relative to free fatty acids in response to adrenergic stimulus consistent with elevated re-esterification. This phenotype is not recapitulated in adipose-specific KO mice. Conclusions – MondoA deficiency alters cellular sensing of nutrient availability and storage/utilization mechanisms. In the whole-body setting, this results in increased energy expenditure, potentially related to increased glucose uptake, glycolytic flux, and glycerol synthesis to supply high rates of lipolysis and lipid re-esterification. These results suggest that MondoA functions to maintain fuel storage and when lost, inter-organ futile fuel cycling ensues.",Mus musculus,Expression profiling by high throughput sequencing,40,skeletal_muscle;adipose,1,1,1,0,0,1,41279368,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE303nnn/GSE303998/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303998,
14,weight_loss,GEO/GDS,weight_loss_exercise_adipose_muscle_geo,GSE293681,200293681,"Metabolic beneficial effects of targeting a long non-coding RNA, lnc-Megacluster, in obesity","The long noncoding RNA (lncRNA) lnc-Megacluster (lncMGC) is implicated in diabetic kidney disease and pancreatic islet dysfunction. However, its role in obesity and insulin resistance (IR) is unknown. Herein, we investigated the regulatory role of lncMGC in obesity and adipose dysfunction using lncMGC knockout (KO) mice, and further determined the translational potential of lncMGC-based therapeutics for obesity using GapmeR antisense oligonucleotides in wild-type and partially humanized-lncMGC mice. We found lncMGC is upregulated in perigonadal white adipose (gWAT) and brown adipose tissues (BAT) from high-fat diet (HFD)-induced obese mice along with increased endoplasmic reticulum stress signaling. Inhibition of lncMGC in mice via genetic ablation or GapmeRs targeting mouse or human lncMGC displayed protective effects against HFD-induced IR, weight gain, and associated adipose dysfunction. In parallel, key lncMGC targets involved in gWAT and BAT functions were altered. The metabolic beneficial effects in gWAT were accompanied by improved angiogenesis, reduced adipocyte hypertrophy, and inflammation. Notably, lowering lncMGC levels in HFD-fed lncMGC KO or via GapmeR treatment enhanced BAT functional markers, mitochondrial thermogenic program/structure, and mitophagy markers. Collectively, these new findings underscore the pathogenic role of lncMGC in adipose dysfunction and the therapeutic potential of targeting key lncRNAs for obesity and associated metabolic dysfunction.",Mus musculus,Other,23,adipose,1,1,1,1,1,0,41532014,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE293nnn/GSE293681/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293681,
13,exercise,GEO/GDS,exercise_skeletal_muscle_human_geo,GSE318937,200318937,Effect of Oleuropein-based olive leaf extract supplementation on the transcriptomic response to moderate and intense exercise in human,"Sprint interval exercise (SIE) and moderate-intensity continuous exercise (MICE) both induce mitochondrial adaptations in skeletal muscle but likely via distinct molecular responses. Oleuropein from olive leaf extract (OLE) has been shown to promote mitochondrial Ca²⁺ uptake and pyruvate dehydrogenase (PDH) activation, suggesting a potential interaction with exercise-induced mitochondrial signaling. In a randomized, double-blind crossover study, healthy males performed either MICE or SIE with or without OLE supplementation. Vastus lateralis muscle biopsies were collected before, immediately after, and 24 h post-exercise. Transcriptomic analyses revealed that OLE significantly modulated exercise-induced gene expression responses, particularly pathways related to mitochondrial function and inflammation, following both MICE and SIE. These molecular effects occurred despite limited functional changes and were accompanied by increased PDH activity only after MICE.",Homo sapiens,Expression profiling by high throughput sequencing,119,skeletal_muscle,1,1,0,1,0,1,41979147,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE318nnn/GSE318937/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318937,
13,exercise,GEO/GDS,exercise_skeletal_muscle_human_geo,GSE305038,200305038,A Single Day of Reduced Activity Alters the Next Day’s Transcriptomic and Metabolic Exercise Response,"Regular aerobic exercise decreases the risk of metabolic diseases, however reduced physical activity may attenuate these beneficial adaptations. This study investigated the influence of a single day of reduced activity on the skeletal muscle transcriptome (RNASeq) and systemic metabolism surrounding an acute bout of aerobic exercise. Utilizing a crossover design, subjects (n=9 [7M, 2F], 24±1y) exercised at 65% VO2max for 60-minutes following a day of reduced activity (IN; 3,581±1,185 steps) and normal activity (A; 11,069±3,631 steps). RNAseq from skeletal muscle biopsies was completed prior to and 4-hours post-exercise. Respiratory gas exchange analysis was completed at 20, 40, and 60 minutes of exercise. Blood samples for select metabolites were collected before, during, and throughout the 4-hour recovery. Inactivity resulted in nine Differentially Expressed Genes (DEG) at rest, while exercise altered 793 and 1,403 genes in A and IN, respectively. Gene set enrichment analysis revealed an interaction of exercise and trial that were related to inflammation, metabolism, cell cycle, and innate immunity. Respiratory exchange ratio (0.93±0.04 vs. 0.91±0.03; p<0.05) and carbohydrate utilization (2.16±0.79 vs. 1.96±0.72 g/min; p=0.09) was higher in the IN vs. A trial at 60-minutes of exercise. Triglycerides were higher in the IN trial (p<0.05),with no differences between trials observed in other measured metabolites. These findings indicate that a single day of reduced physical activity can elicit modest but significant changes in the metabolic and transcriptomic exercise response. Such alterations have implications for exercise guidelines and underscore the importance of controlling for daily step count when assessing exercise responses.",Homo sapiens,Expression profiling by high throughput sequencing,28,skeletal_muscle;blood_pbmc;tendon_repair,1,1,0,1,0,1,41247792,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305038/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305038,
13,exercise;obesity,GEO/GDS,exercise_skeletal_muscle_human_geo,GSE249858,200249858,Unveiling the Molecular Legacy of Transient Insulin Resistance: Implications for Hepatic Metabolic Adaptability [RNA-Seq],"Metabolic flexibility (MetF) refers to an organism's capacity to adapt to changes in metabolic supplies and energy demands. MetF involves various organs, such as skeletal muscle, white adipose tissues, and the liver, and plays a critical role in altering fuel selection. Insulin acts as a central coordinator of MetF, regulated at the molecular level through various mechanisms, including signaling cascades, transcriptional responses, and circadian regulation. Insulin resistance (IR) can hinder MetF, leading to the development of type 2 diabetes and obesity. These conditions are primarily linked to long-term, chronic exposure to sedentary lifestyles, unbalanced diets, and disruptions in circadian rhythms. However, transient episodes of IR significantly elevate the risk of later-in-life development of type 2 diabetes, as seen in cases like gestational diabetes and stress-induced hyperglycemia. Despite their significance to human health, the molecular processes underlying metabolic dysregulation after these transient episodes remain poorly understood. In our study, we demonstrate that a temporary and fully reversible insulin receptor blockade in young mice results in later-in-life hepatic abnormalities that impair the PPARα-mediated response to a high-fat diet. This impairment is associated with increased histone repressive marks at PPARα-centered loci and decreased hepatic content of PPARα endogenous ligands. Transient insulin receptor blockade temporarily disrupts the liver's circadian rhythm, and this disruption specifically propagates to high-fat diet-fed animals. Our findings reveal that PPARα ligand responsiveness is critically influenced by the circadian clock, adding another layer of (dys)regulation to hepatic homeostasis due to early transient events. In summary, our data suggest that seemingly reversible and unnoticed metabolic challenges in early adulthood may predispose the liver to exacerbated metabolic dysfunctions when confronted with chronic challenges later in life.",Mus musculus,Expression profiling by high throughput sequencing,18,skeletal_muscle;adipose,1,1,1,0,0,1,39947330,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249858/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249858,
13,exercise;obesity,GEO/GDS,exercise_skeletal_muscle_human_geo,GSE249841,200249841,Unveiling the Molecular Legacy of Transient Insulin Resistance: Implications for Hepatic Metabolic Adaptability [ChIP-Seq],"Metabolic flexibility (MetF) refers to an organism's capacity to adapt to changes in metabolic supplies and energy demands. MetF involves various organs, such as skeletal muscle, white adipose tissues, and the liver, and plays a critical role in altering fuel selection. Insulin acts as a central coordinator of MetF, regulated at the molecular level through various mechanisms, including signaling cascades, transcriptional responses, and circadian regulation. Insulin resistance (IR) can hinder MetF, leading to the development of type 2 diabetes and obesity. These conditions are primarily linked to long-term, chronic exposure to sedentary lifestyles, unbalanced diets, and disruptions in circadian rhythms. However, transient episodes of IR significantly elevate the risk of later-in-life development of type 2 diabetes, as seen in cases like gestational diabetes and stress-induced hyperglycemia. Despite their significance to human health, the molecular processes underlying metabolic dysregulation after these transient episodes remain poorly understood. In our study, we demonstrate that a temporary and fully reversible insulin receptor blockade in young mice results in later-in-life hepatic abnormalities that impair the PPARα-mediated response to a high-fat diet. This impairment is associated with increased histone repressive marks at PPARα-centered loci and decreased hepatic content of PPARα endogenous ligands. Transient insulin receptor blockade temporarily disrupts the liver's circadian rhythm, and this disruption specifically propagates to high-fat diet-fed animals. Our findings reveal that PPARα ligand responsiveness is critically influenced by the circadian clock, adding another layer of (dys)regulation to hepatic homeostasis due to early transient events. In summary, our data suggest that seemingly reversible and unnoticed metabolic challenges in early adulthood may predispose the liver to exacerbated metabolic dysfunctions when confronted with chronic challenges later in life.",Mus musculus,Genome binding/occupancy profiling by high throughput sequencing,19,skeletal_muscle;adipose,1,1,1,0,0,1,39947330,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249841/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249841,
13,obesity;weight_loss,GEO/GDS,obesity_adipose_inflammation_geo,GSE296679,200296679,"Homoharringtonine, a novel senotherapeutic, mitigates diet- and age-associated obesity and insulin resistance and extends the lifespan of mice","The accumulation of senescent cells in white adipose tissue (WAT) is closely associated with the functional decline of WAT and plays a causal role in the pathogenesis of metabolic diseases. Therefore, the elimination of senescent cells in WAT holds promise for the treatment and prevention of age-related metabolic diseases. Using a drug-repositioning strategy for 2,150 clinically applied compounds, we discover that homoharringtonine (HHT), an FDA-approved anti-leukemic drug, manifests senotherapeutic activity in vitro in multiple cell types including human preadipocytes, while inflicting minimal cytotoxicity to non-senescent cells. HHT treatment prevents diet- or age-induced metabolic abnormalities in mice targeting senescent adipocytes and preadipocytes to improve WAT function and reduce WAT inflammation. Moreover, HHT treatment attenuates age-associated phenotypes of human adipose tissue. Mechanistically, the senotherapeutic effects of HHT are mediated through the direct interaction of HHT with heat shock protein family A member 5 (HSPA5). Importantly, we found that HHT treatment delays aging and extends the lifespan in progeroid and aged mice. Our study demonstrates the novel senotherapeutic potential of HHT to mitigate age- and obesity-related metabolic dysfunction and extend longevity in mice.",Mus musculus,Expression profiling by high throughput sequencing,2,adipose,1,1,1,1,0,1,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296679/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296679,
