accession,module,priority,organism,tissue_or_cell,n,assay_or_data_type,intervention_or_comparison,relevance_to_NAMPT_axis,main_risk,url,processed_or_key_files
GSE312393,exercise_skeletal_muscle,download_first,Homo sapiens,skeletal muscle,13,RNA-seq,acute eccentric exercise at 24 h and six-week resistance training,Tests acute repair versus training adaptation in human muscle; useful for repair NAMPT score,Small sample and two designs in one series,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312393,GSE312393_human_gene_24H_exercise_tpm.tsv.gz; GSE312393_human_gene_6weeks_tpm.tsv.gz
GSE318937,exercise_nutrition,download_first,Homo sapiens,human muscle biopsy,119,RNA-seq,MICE or SIE exercise with oleuropein-rich olive leaf extract versus placebo; pre post and 24 h,Strong exercise plus nutrition dataset; tests whether supplement context shifts mitochondrial and inflammatory NAMPT-axis responses,Healthy male cohort and supplement-specific effects may limit obesity inference,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318937,GSE318937_genePerSampleOrder_FortitudeUnil.csv.gz
GSE305038,exercise_inactivity,download_first,Homo sapiens,skeletal muscle,28,RNA-seq,normal activity versus one day reduced activity before acute aerobic exercise,Tests whether low activity changes inflammatory and metabolic exercise response; relevant to safe exercise initiation,Small crossover cohort and short-term inactivity only,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305038,edgeR contrast workbooks; may need raw/sample matrix reconstruction
GSE292369,exercise_nutrition_recovery,download_first,Homo sapiens,skeletal muscle,36,RNA-seq,cycling exercise with ketone ester versus placebo during early recovery,Tests nutrition recovery modulation of repair NAMPT score and NAD-related metabolic response,Small male recreational cohort; reported limited transcriptomic effect,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292369,Partek transcript counts and DESeq2-normalized matrix
GSE32575,obesity_immune,download_first,Homo sapiens,CD14+ monocytes,48,microarray,lean controls and obese patients before and three months after bariatric surgery,Key low-grade inflammation dataset; tests inflammatory NAMPT score in circulating monocytes and reversal with weight loss,Older microarray platform; pooled controls noted in design,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32575,GSE32575_non-normalized.txt.gz; RAW.tar
GSE272133,obesity_muscle_weight_loss,download_first,Homo sapiens,skeletal muscle,52,RNA-seq,obesity with or without type 2 diabetes before and one year after bariatric surgery,Key weight-loss reversal dataset in muscle; tests shift from inflammatory to repair/metabolic state,T2D subgroup may confound obesity-only interpretation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272133,GSE272133_processed_data_RNASeq.tsv.gz
GSE272137,obesity_muscle_methylation,download_second,Homo sapiens,skeletal muscle,52,DNA methylation array,matched cohort to GSE272133 before and after bariatric surgery,Epigenetic support for regulatory state changes near NAMPT-axis genes,Requires methylation annotation and careful expression integration,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272137,GSE272137_processed_data_methylation.tsv.gz
GSE294150,obesity_adipose,download_first,Homo sapiens,visceral white adipose tissue,40,RNA-seq,severe obesity visceral fat samples from bariatric-surgery cohort,Key adipose inflammatory/metabolic state dataset; useful for eNAMPT-adipose context,Adipose sampled during surgery; limited normal-weight comparator,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294150,GSE294150_Expression_Profile.GRCh38.gene.txt.gz
GSE329809,adipose_weight_loss,download_second,Homo sapiens,abdominal subcutaneous adipose tissue,18,RNA-seq,normal weight overweight and post-weight-loss adults,Tests whether adipose NAMPT-axis state persists or normalizes after weight loss,Small exploratory cohort and group labels need careful parsing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329809,processed CPM and FPKM workbooks
GSE328810,obesity_exercise_blood_methylation,download_second,Homo sapiens,blood,26,DNA methylation EPIC,before and after eight-week combined exercise in women with obesity,Direct obesity plus exercise dataset with clinical fitness/body-composition metadata; useful for regulatory markers,Epigenetic assay rather than expression; women-only cohort,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328810,beta_normalized_cell_corrected.csv.gz; RAW.tar
GSE323980,obesity_nutrition_blood,supplement,Homo sapiens,whole blood,40,gene expression,diet composition randomized trial in obesity,Supplementary nutrition/obesity blood context for inflammatory NAMPT markers,Not exercise-focused and likely diet/sleep confounding,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE323980,RAW.tar
